metric,model_a,model_b,point_gap,ci_lo,ci_hi,crosses_zero
macro_f1,bert-base,biobert,-0.003606313026349506,-0.014075778543502178,0.006986802596594556,True
macro_f1,bert-base,pubmedbert,-0.012081572567678611,-0.0235889371442202,-0.002501809211489395,False
macro_f1,biobert,pubmedbert,-0.008475259541329105,-0.017644700349029756,-0.00018031349644154904,False
pr_auc,bert-base,biobert,-0.011718744022338967,-0.02020053887128424,-0.005158574619337994,False
pr_auc,bert-base,pubmedbert,-0.0176691134850262,-0.031131116014868437,-0.006682192176482477,False
pr_auc,biobert,pubmedbert,-0.005950369462687233,-0.016534478717487023,0.0026428023973570887,True
